vaccine_application_date,dose_vaccine,n_cases
1/22/2012,1a dose,1
2/3/2012,2a dose ou unica,1
2/8/2012,1a dose,1
5/27/2012,1a dose,1
6/9/2012,1a dose,1
6/16/2012,1a dose,1
7/7/2012,1a dose,1
7/16/2012,2a dose ou unica,2
7/23/2012,1a dose,1
7/26/2012,1a dose,1
8/30/2012,2a dose ou unica,1
9/2/2012,2a dose ou unica,2
9/16/2012,2a dose ou unica,1
9/27/2012,2a dose ou unica,1
10/8/2012,1a dose,1
10/15/2012,1o reforco,1
10/18/2012,2a dose ou unica,1
10/22/2012,1a dose,15
10/27/2012,2a dose ou unica,2
11/20/2012,1o reforco,1
11/25/2012,1o reforco,1
12/14/2012,2a dose ou unica,1
9/2/2013,2a dose ou unica,1
3/1/2014,1o reforco,1
10/4/2014,2a dose ou unica,1
12/16/2014,2a dose ou unica,1
5/7/2015,1a dose,1
8/5/2015,1a dose,1
1/2/2016,2a dose ou unica,62
7/28/2016,2a dose ou unica,1
5/25/2017,2a dose ou unica,1
2/11/2018,1a dose,1
8/16/2018,2a dose ou unica,1
8/18/2018,2a dose ou unica,1
3/25/2019,1a dose,1
5/19/2019,1a dose,1
6/29/2019,2a dose ou unica,1
7/15/2019,2a dose ou unica,1
8/12/2019,2a dose ou unica,1
8/18/2019,1a dose,1
9/1/2019,2a dose ou unica,1
9/6/2019,2a dose ou unica,1
9/20/2019,2a dose ou unica,3
9/30/2019,2a dose ou unica,1
1/6/2020,1o reforco,1
1/14/2020,1a dose,1
1/20/2020,1a dose,1
1/21/2020,1a dose,2
1/25/2020,1a dose,1
1/28/2020,1a dose,2
1/30/2020,1a dose,1
2/1/2020,1a dose,1
2/5/2020,1a dose,1
2/12/2020,2a dose ou unica,1
2/15/2020,2a dose ou unica,1
3/23/2020,1a dose,12810
3/23/2020,2a dose ou unica,86
4/28/2020,1a dose,1
4/29/2020,1a dose,1
4/29/2020,2a dose ou unica,1
5/5/2020,1a dose,1
5/11/2020,2a dose ou unica,1
5/19/2020,1a dose,1
5/19/2020,2a dose ou unica,1
5/20/2020,1a dose,1
5/20/2020,2a dose ou unica,1
5/24/2020,1a dose,1
5/26/2020,1a dose,1
5/26/2020,2a dose ou unica,1
5/29/2020,2a dose ou unica,1
6/2/2020,1a dose,1
6/2/2020,2a dose ou unica,1
6/4/2020,2a dose ou unica,1
6/7/2020,1a dose,2
6/9/2020,1a dose,1
6/16/2020,1a dose,3
6/20/2020,2a dose ou unica,1
6/22/2020,1a dose,1
7/2/2020,1a dose,1
7/6/2020,1a dose,1
7/7/2020,2a dose ou unica,1
7/9/2020,1a dose,1
7/14/2020,2a dose ou unica,1
7/16/2020,2a dose ou unica,1
7/23/2020,2a dose ou unica,1
7/27/2020,2a dose ou unica,1
8/3/2020,1a dose,1
8/7/2020,1a dose,5
8/8/2020,1a dose,1
8/10/2020,1a dose,12
8/11/2020,1a dose,10
8/12/2020,1a dose,18
8/13/2020,1a dose,14
8/14/2020,1a dose,14
8/17/2020,1a dose,30
8/18/2020,1a dose,26
8/19/2020,1a dose,32
8/20/2020,1a dose,35
8/21/2020,1a dose,7
8/23/2020,1a dose,1
8/24/2020,1a dose,30
8/24/2020,2a dose ou unica,1
8/25/2020,1a dose,20
8/26/2020,2a dose ou unica,5
8/27/2020,2a dose ou unica,1
8/30/2020,2a dose ou unica,1
8/31/2020,2a dose ou unica,10
9/1/2020,1a dose,12
9/1/2020,2a dose ou unica,9
9/2/2020,1a dose,19
9/2/2020,2a dose ou unica,17
9/3/2020,1a dose,20
9/3/2020,2a dose ou unica,14
9/4/2020,1a dose,19
9/4/2020,2a dose ou unica,11
9/8/2020,1a dose,1
9/8/2020,2a dose ou unica,27
9/9/2020,1a dose,1
9/9/2020,1o reforco,1
9/9/2020,2a dose ou unica,35
9/10/2020,1a dose,8
9/10/2020,2a dose ou unica,31
9/11/2020,2a dose ou unica,34
9/12/2020,1a dose,1
9/14/2020,1a dose,4
9/14/2020,2a dose ou unica,29
9/15/2020,1a dose,13
9/15/2020,2a dose ou unica,15
9/16/2020,1a dose,40
9/16/2020,2a dose ou unica,7
9/17/2020,1a dose,42
9/17/2020,2a dose ou unica,1
9/18/2020,1a dose,44
9/21/2020,1a dose,25
9/21/2020,2a dose ou unica,7
9/22/2020,1a dose,1
9/22/2020,2a dose ou unica,25
9/23/2020,2a dose ou unica,18
9/24/2020,2a dose ou unica,16
9/25/2020,2a dose ou unica,6
9/26/2020,1a dose,1
9/28/2020,1a dose,3
9/28/2020,2a dose ou unica,1
9/29/2020,1a dose,2
9/29/2020,2a dose ou unica,8
9/30/2020,1a dose,21
9/30/2020,2a dose ou unica,1
10/1/2020,1a dose,15
10/2/2020,1a dose,17
10/2/2020,2a dose ou unica,1
10/5/2020,1a dose,3
10/5/2020,2a dose ou unica,27
10/6/2020,1a dose,1
10/6/2020,2a dose ou unica,18
10/7/2020,1a dose,11
10/7/2020,2a dose ou unica,22
10/8/2020,2a dose ou unica,37
10/9/2020,1a dose,2
10/9/2020,2a dose ou unica,35
10/10/2020,2a dose ou unica,1
10/11/2020,2a dose ou unica,1
10/13/2020,1a dose,3
10/13/2020,2a dose ou unica,23
10/14/2020,1a dose,11
10/14/2020,1o reforco,11
10/14/2020,2a dose ou unica,3
10/15/2020,1a dose,14
10/15/2020,2a dose ou unica,1
10/16/2020,1a dose,39
10/19/2020,1a dose,39
10/19/2020,2a dose ou unica,3
10/20/2020,1a dose,18
10/20/2020,1o reforco,1
10/20/2020,2a dose ou unica,7
10/21/2020,1a dose,8
10/21/2020,2a dose ou unica,25
10/22/2020,1a dose,23
10/22/2020,2a dose ou unica,12
10/23/2020,1a dose,42
10/23/2020,2a dose ou unica,7
10/26/2020,2a dose ou unica,10
10/27/2020,2a dose ou unica,3
10/28/2020,2a dose ou unica,3
10/29/2020,2a dose ou unica,3
10/30/2020,2a dose ou unica,4
11/3/2020,2a dose ou unica,3
11/4/2020,1a dose,1
11/4/2020,2a dose ou unica,11
11/5/2020,2a dose ou unica,36
11/6/2020,2a dose ou unica,15
11/9/2020,2a dose ou unica,27
11/10/2020,2a dose ou unica,20
11/11/2020,2a dose ou unica,39
11/12/2020,2a dose ou unica,38
11/13/2020,2a dose ou unica,3
11/16/2020,2a dose ou unica,2
11/18/2020,2a dose ou unica,1
11/22/2020,1o reforco,1
11/23/2020,2a dose ou unica,1
11/24/2020,2a dose ou unica,1
11/26/2020,2a dose ou unica,1
11/28/2020,2a dose ou unica,1
12/6/2020,1o reforco,1
12/14/2020,1a dose,1
12/15/2020,2a dose ou unica,1
12/17/2020,2a dose ou unica,1
12/18/2020,2a dose ou unica,1
12/21/2020,1a dose,16
12/22/2020,1a dose,3
12/24/2020,1a dose,1
12/27/2020,1a dose,1
12/27/2020,1o reforco,1
12/30/2020,1a dose,2
1/1/2021,1a dose,54
1/1/2021,1o reforco,3
1/1/2021,2a dose ou unica,8
1/2/2021,1a dose,33
1/2/2021,2a dose ou unica,3
1/3/2021,1a dose,4
1/3/2021,1o reforco,19
1/3/2021,2a dose ou unica,7
1/4/2021,1a dose,34
1/4/2021,1o reforco,7
1/4/2021,2a dose ou unica,13
1/5/2021,1a dose,17
1/5/2021,1o reforco,5
1/5/2021,2a dose ou unica,7
1/6/2021,1a dose,12
1/6/2021,1o reforco,4
1/6/2021,2a dose ou unica,5
1/7/2021,1a dose,3
1/7/2021,1o reforco,9
1/7/2021,2a dose ou unica,11
1/8/2021,1a dose,11
1/8/2021,2a dose ou unica,1
1/9/2021,1a dose,16
1/9/2021,1o reforco,1
1/9/2021,2a dose ou unica,3
1/10/2021,1a dose,6
1/10/2021,1o reforco,12
1/10/2021,2a dose ou unica,7
1/11/2021,1a dose,20
1/11/2021,1o reforco,18
1/11/2021,2a dose ou unica,14
1/12/2021,1a dose,47
1/12/2021,1o reforco,30
1/12/2021,2a dose ou unica,21
1/13/2021,1a dose,6
1/13/2021,1o reforco,1
1/13/2021,2a dose ou unica,3
1/14/2021,1a dose,11
1/14/2021,1o reforco,1
1/14/2021,2a dose ou unica,7
1/15/2021,1a dose,21
1/15/2021,2a dose ou unica,8
1/16/2021,1a dose,9
1/16/2021,2a dose ou unica,3
1/17/2021,1a dose,520
1/17/2021,1o reforco,31
1/17/2021,2a dose ou unica,140
1/18/2021,1a dose,2260
1/18/2021,1o reforco,14
1/18/2021,2a dose ou unica,143
1/19/2021,1a dose,60404
1/19/2021,1o reforco,22
1/19/2021,2a dose ou unica,269
1/20/2021,1a dose,343582
1/20/2021,1o reforco,45
1/20/2021,2a dose ou unica,706
1/21/2021,1a dose,386027
1/21/2021,1o reforco,64
1/21/2021,2a dose ou unica,769
1/22/2021,1a dose,346159
1/22/2021,1o reforco,70
1/22/2021,2a dose ou unica,1221
1/23/2021,1a dose,84729
1/23/2021,1o reforco,18
1/23/2021,2a dose ou unica,290
1/24/2021,1a dose,34334
1/24/2021,1o reforco,3
1/24/2021,2a dose ou unica,243
1/25/2021,1a dose,222624
1/25/2021,1o reforco,16
1/25/2021,2a dose ou unica,403
1/26/2021,1a dose,257564
1/26/2021,1o reforco,34
1/26/2021,2a dose ou unica,605
1/27/2021,1a dose,302724
1/27/2021,1o reforco,41
1/27/2021,2a dose ou unica,478
1/28/2021,1a dose,336259
1/28/2021,1o reforco,42
1/28/2021,2a dose ou unica,632
1/29/2021,1a dose,298588
1/29/2021,1o reforco,19
1/29/2021,2a dose ou unica,426
1/30/2021,1a dose,76658
1/30/2021,1o reforco,11
1/30/2021,2a dose ou unica,145
1/31/2021,1a dose,34584
1/31/2021,1o reforco,25
1/31/2021,2a dose ou unica,56
2/1/2021,1a dose,239117
2/1/2021,1o reforco,12
2/1/2021,2a dose ou unica,776
2/2/2021,1a dose,269107
2/2/2021,1o reforco,7
2/2/2021,2a dose ou unica,3225
2/3/2021,1a dose,285376
2/3/2021,1o reforco,17
2/3/2021,2a dose ou unica,10279
2/4/2021,1a dose,303977
2/4/2021,1o reforco,18
2/4/2021,2a dose ou unica,23399
2/5/2021,1a dose,281167
2/5/2021,1o reforco,23
2/5/2021,2a dose ou unica,24902
2/6/2021,1a dose,89723
2/6/2021,1o reforco,3
2/6/2021,2a dose ou unica,3369
2/7/2021,1a dose,27755
2/7/2021,1o reforco,2
2/7/2021,2a dose ou unica,1124
2/8/2021,1a dose,240455
2/8/2021,1o reforco,6
2/8/2021,2a dose ou unica,35768
2/9/2021,1a dose,248688
2/9/2021,1o reforco,14
2/9/2021,2a dose ou unica,47480
2/10/2021,1a dose,266554
2/10/2021,1o reforco,19
2/10/2021,2a dose ou unica,90256
2/11/2021,1a dose,298054
2/11/2021,1o reforco,36
2/11/2021,2a dose ou unica,152550
2/12/2021,1a dose,320496
2/12/2021,1o reforco,37
2/12/2021,2a dose ou unica,178856
2/13/2021,1a dose,96136
2/13/2021,1o reforco,7
2/13/2021,2a dose ou unica,36146
2/14/2021,1a dose,20442
2/14/2021,1o reforco,13
2/14/2021,2a dose ou unica,19499
2/15/2021,1a dose,171216
2/15/2021,1o reforco,20
2/15/2021,2a dose ou unica,146395
2/16/2021,1a dose,128193
2/16/2021,1o reforco,14
2/16/2021,2a dose ou unica,181404
2/17/2021,1a dose,132993
2/17/2021,1o reforco,23
2/17/2021,2a dose ou unica,230680
2/18/2021,1a dose,143778
2/18/2021,1o reforco,31
2/18/2021,2a dose ou unica,277312
2/19/2021,1a dose,115489
2/19/2021,1o reforco,21
2/19/2021,2a dose ou unica,207694
2/20/2021,1a dose,24872
2/20/2021,1o reforco,10
2/20/2021,2a dose ou unica,33372
2/21/2021,1a dose,6834
2/21/2021,1o reforco,12
2/21/2021,2a dose ou unica,9078
2/22/2021,1a dose,79489
2/22/2021,1o reforco,12
2/22/2021,2a dose ou unica,156863
2/23/2021,1a dose,81423
2/23/2021,1o reforco,14
2/23/2021,2a dose ou unica,133404
2/24/2021,1a dose,69393
2/24/2021,1o reforco,12
2/24/2021,2a dose ou unica,118353
2/25/2021,1a dose,92840
2/25/2021,1o reforco,11
2/25/2021,2a dose ou unica,108411
2/26/2021,1a dose,181348
2/26/2021,1o reforco,16
2/26/2021,2a dose ou unica,119842
2/27/2021,1a dose,201591
2/27/2021,1o reforco,5
2/27/2021,2a dose ou unica,33881
2/28/2021,1a dose,48259
2/28/2021,1o reforco,2
2/28/2021,2a dose ou unica,10943
3/1/2021,1a dose,378298
3/1/2021,1o reforco,14
3/1/2021,2a dose ou unica,127730
3/2/2021,1a dose,353477
3/2/2021,1o reforco,7
3/2/2021,2a dose ou unica,171444
3/3/2021,1a dose,446484
3/3/2021,1o reforco,17
3/3/2021,2a dose ou unica,168858
3/4/2021,1a dose,355671
3/4/2021,1o reforco,16
3/4/2021,2a dose ou unica,164722
3/5/2021,1a dose,336657
3/5/2021,1o reforco,24
3/5/2021,2a dose ou unica,192641
3/6/2021,1a dose,163592
3/6/2021,1o reforco,3
3/6/2021,2a dose ou unica,70384
3/7/2021,1a dose,36879
3/7/2021,1o reforco,15
3/7/2021,2a dose ou unica,13988
3/8/2021,1a dose,285748
3/8/2021,1o reforco,12
3/8/2021,2a dose ou unica,160283
3/9/2021,1a dose,235561
3/9/2021,1o reforco,7
3/9/2021,2a dose ou unica,174830
3/10/2021,1a dose,261541
3/10/2021,1o reforco,9
3/10/2021,2a dose ou unica,185996
3/11/2021,1a dose,268079
3/11/2021,1o reforco,20
3/11/2021,2a dose ou unica,189119
3/12/2021,1a dose,308589
3/12/2021,1o reforco,7
3/12/2021,2a dose ou unica,166795
3/13/2021,1a dose,160111
3/13/2021,1o reforco,11
3/13/2021,2a dose ou unica,38120
3/14/2021,1a dose,33506
3/14/2021,1o reforco,8
3/14/2021,2a dose ou unica,6742
3/15/2021,1a dose,403775
3/15/2021,1o reforco,19
3/15/2021,2a dose ou unica,114619
3/16/2021,1a dose,320568
3/16/2021,1o reforco,8
3/16/2021,2a dose ou unica,102045
3/17/2021,1a dose,272986
3/17/2021,1o reforco,9
3/17/2021,2a dose ou unica,86170
3/18/2021,1a dose,350466
3/18/2021,1o reforco,17
3/18/2021,2a dose ou unica,81885
3/19/2021,1a dose,641813
3/19/2021,1o reforco,97
3/19/2021,2a dose ou unica,73740
3/20/2021,1a dose,350302
3/20/2021,1o reforco,11
3/20/2021,2a dose ou unica,21980
3/21/2021,1a dose,75532
3/21/2021,1o reforco,5
3/21/2021,2a dose ou unica,6225
3/22/2021,1a dose,572511
3/22/2021,1o reforco,14
3/22/2021,2a dose ou unica,78549
3/23/2021,1a dose,721490
3/23/2021,1o reforco,12
3/23/2021,2a dose ou unica,99569
3/24/2021,1a dose,859512
3/24/2021,1o reforco,13
3/24/2021,2a dose ou unica,147630
3/25/2021,1a dose,895776
3/25/2021,1o reforco,27
3/25/2021,2a dose ou unica,151317
3/26/2021,1a dose,942122
3/26/2021,1o reforco,15
3/26/2021,2a dose ou unica,133167
3/27/2021,1a dose,710844
3/27/2021,1o reforco,14
3/27/2021,2a dose ou unica,47715
3/28/2021,1a dose,208445
3/28/2021,1o reforco,3
3/28/2021,2a dose ou unica,15618
3/29/2021,1a dose,882791
3/29/2021,1o reforco,20
3/29/2021,2a dose ou unica,157556
3/30/2021,1a dose,1012158
3/30/2021,1o reforco,14
3/30/2021,2a dose ou unica,166398
3/31/2021,1a dose,860010
3/31/2021,1o reforco,20
3/31/2021,2a dose ou unica,199661
4/1/2021,1a dose,599716
4/1/2021,1o reforco,20
4/1/2021,2a dose ou unica,149898
4/2/2021,1a dose,230195
4/2/2021,1o reforco,3
4/2/2021,2a dose ou unica,27178
4/3/2021,1a dose,379771
4/3/2021,1o reforco,3
4/3/2021,2a dose ou unica,56840
4/4/2021,1a dose,66064
4/4/2021,1o reforco,3
4/4/2021,2a dose ou unica,17955
4/5/2021,1a dose,671999
4/5/2021,1o reforco,27
4/5/2021,2a dose ou unica,371687
4/6/2021,1a dose,591442
4/6/2021,1o reforco,7
4/6/2021,2a dose ou unica,283588
4/7/2021,1a dose,529558
4/7/2021,1o reforco,20
4/7/2021,2a dose ou unica,277212
4/8/2021,1a dose,402021
4/8/2021,1o reforco,22
4/8/2021,2a dose ou unica,302818
4/9/2021,1a dose,417898
4/9/2021,1o reforco,23
4/9/2021,2a dose ou unica,491160
4/10/2021,1a dose,431538
4/10/2021,1o reforco,15
4/10/2021,2a dose ou unica,194970
4/11/2021,1a dose,72563
4/11/2021,1o reforco,111
4/11/2021,2a dose ou unica,39420
4/12/2021,1a dose,531878
4/12/2021,1o reforco,15
4/12/2021,2a dose ou unica,429913
4/13/2021,1a dose,449685
4/13/2021,1o reforco,30
4/13/2021,2a dose ou unica,410780
4/14/2021,1a dose,420739
4/14/2021,1o reforco,27
4/14/2021,2a dose ou unica,421343
4/15/2021,1a dose,350930
4/15/2021,1o reforco,41
4/15/2021,2a dose ou unica,527757
4/16/2021,1a dose,328957
4/16/2021,1o reforco,38
4/16/2021,2a dose ou unica,698864
4/17/2021,1a dose,377167
4/17/2021,1o reforco,21
4/17/2021,2a dose ou unica,288780
4/18/2021,1a dose,103330
4/18/2021,1o reforco,6
4/18/2021,2a dose ou unica,46824
4/19/2021,1a dose,508168
4/19/2021,1o reforco,50
4/19/2021,2a dose ou unica,697881
4/20/2021,1a dose,657490
4/20/2021,1o reforco,46
4/20/2021,2a dose ou unica,800093
4/21/2021,1a dose,519847
4/21/2021,1o reforco,23
4/21/2021,2a dose ou unica,274812
4/22/2021,1a dose,581973
4/22/2021,1o reforco,44
4/22/2021,2a dose ou unica,823131
4/23/2021,1a dose,554239
4/23/2021,1o reforco,23
4/23/2021,2a dose ou unica,675508
4/24/2021,1a dose,321990
4/24/2021,1o reforco,20
4/24/2021,2a dose ou unica,321625
4/25/2021,1a dose,55979
4/25/2021,1o reforco,3
4/25/2021,2a dose ou unica,84649
4/26/2021,1a dose,460313
4/26/2021,1o reforco,32
4/26/2021,2a dose ou unica,694637
4/27/2021,1a dose,448097
4/27/2021,1o reforco,19
4/27/2021,2a dose ou unica,645987
4/28/2021,1a dose,465412
4/28/2021,1o reforco,19
4/28/2021,2a dose ou unica,563128
4/29/2021,1a dose,493091
4/29/2021,1o reforco,33
4/29/2021,2a dose ou unica,456208
4/30/2021,1a dose,411014
4/30/2021,1o reforco,16
4/30/2021,2a dose ou unica,339491
5/1/2021,1a dose,223089
5/1/2021,1o reforco,3
5/1/2021,2a dose ou unica,115259
5/2/2021,1a dose,97440
5/2/2021,1o reforco,3
5/2/2021,2a dose ou unica,25771
5/3/2021,1a dose,493625
5/3/2021,1o reforco,19
5/3/2021,2a dose ou unica,388012
5/4/2021,1a dose,619787
5/4/2021,1o reforco,34
5/4/2021,2a dose ou unica,338768
5/5/2021,1a dose,782350
5/5/2021,1o reforco,11
5/5/2021,2a dose ou unica,305214
5/6/2021,1a dose,979412
5/6/2021,1o reforco,24
5/6/2021,2a dose ou unica,203549
5/7/2021,1a dose,750433
5/7/2021,1o reforco,12
5/7/2021,2a dose ou unica,190678
5/8/2021,1a dose,365820
5/8/2021,1o reforco,35
5/8/2021,2a dose ou unica,122120
5/9/2021,1a dose,22603
5/9/2021,1o reforco,1
5/9/2021,2a dose ou unica,13019
5/10/2021,1a dose,529422
5/10/2021,1o reforco,193
5/10/2021,2a dose ou unica,247956
5/11/2021,1a dose,575522
5/11/2021,1o reforco,90
5/11/2021,2a dose ou unica,261199
5/12/2021,1a dose,655955
5/12/2021,1o reforco,9
5/12/2021,2a dose ou unica,184002
5/13/2021,1a dose,612554
5/13/2021,1o reforco,18
5/13/2021,2a dose ou unica,162822
5/14/2021,1a dose,697764
5/14/2021,1o reforco,23
5/14/2021,2a dose ou unica,217832
5/15/2021,1a dose,344108
5/15/2021,1o reforco,15
5/15/2021,2a dose ou unica,206320
5/16/2021,1a dose,132266
5/16/2021,1o reforco,4
5/16/2021,2a dose ou unica,86195
5/17/2021,1a dose,549803
5/17/2021,1o reforco,12
5/17/2021,2a dose ou unica,240677
5/18/2021,1a dose,667088
5/18/2021,1o reforco,25
5/18/2021,2a dose ou unica,266609
5/19/2021,1a dose,656402
5/19/2021,1o reforco,34
5/19/2021,2a dose ou unica,261059
5/20/2021,1a dose,682146
5/20/2021,1o reforco,30
5/20/2021,2a dose ou unica,325860
5/21/2021,1a dose,668497
5/21/2021,1o reforco,15
5/21/2021,2a dose ou unica,300138
5/22/2021,1a dose,288202
5/22/2021,1o reforco,15
5/22/2021,2a dose ou unica,156053
5/23/2021,1a dose,46798
5/23/2021,1o reforco,5
5/23/2021,2a dose ou unica,21798
5/24/2021,1a dose,523170
5/24/2021,1o reforco,6
5/24/2021,2a dose ou unica,276534
5/25/2021,1a dose,630803
5/25/2021,1o reforco,23
5/25/2021,2a dose ou unica,236289
5/26/2021,1a dose,612460
5/26/2021,1o reforco,18
5/26/2021,2a dose ou unica,222076
5/27/2021,1a dose,685312
5/27/2021,1o reforco,18
5/27/2021,2a dose ou unica,197867
5/28/2021,1a dose,810147
5/28/2021,1o reforco,18
5/28/2021,2a dose ou unica,156534
5/29/2021,1a dose,394155
5/29/2021,1o reforco,9
5/29/2021,2a dose ou unica,56772
5/30/2021,1a dose,64652
5/30/2021,1o reforco,6
